label,text,conversation
Admiral_Graf_Spee,There's a note from Spee. It says I don't want to ask people for more help than I need so I made this chocolate all by myself. You Deutschland and my friends are all so kind to me but Valentine's is a special occasion so only you get this gift. Thanks for being here for me. From Spee.,65
Admiral_Graf_Spee,Eugen taught me how to use makeup but does it actually make me look pretty?,66
Admiral_Graf_Spee,I'm trying hard to learn about everyday things. Living a normal life is not so simple compared to fighting,66
Admiral_Graf_Spee,My pantyhose? Ajax gave me them as an enrollment gift I examined them very thoroughly and didn't find anything weird but I doubt they're just a normal pair of stockings,67
Admiral_Graf_Spee,Viersechs doesn't like picture books? I see Everyone else in the Z-class seems to like them though,67
Admiral_Graf_Spee,Hipper? Want some snacks? I get it. Not really means yes in your dictionary. Okay say aah.,68
Admiral_Graf_Spee,Deutschland? Could you stop using your megaphone to shout people who harass the girl with my phone will be expelled It's embarrassing and more importantly it's really distracting,68
Admiral_Graf_Spee,You're making me angry.,69
Admiral_Graf_Spee,This mail it's not another one of Ajax's pranks is it?!,69
Admiral_Graf_Spee,Don't go around disturbing the girls at the academy.,70
Admiral_Graf_Spee,Can I count on you?,70
Admiral_Graf_Spee,I'm so glad that I can finally practice cooking! I want to give something back to all the kindhearted people here!,71
Admiral_Graf_Spee,Ajax You're not pulling my leg this time are you?,71
Admiral_Graf_Spee,Hipper is a totally different person on the internet compared to how she is in real life. Maybe she just has trouble expressing herself around people she cares about,72
Admiral_Graf_Spee,Miss Illustrious could you teach me how to make tea? Admiral Hipper invited me to a tea party between the Royal Navy and Iron Blood but I've never brewed tea before,72
Admiral_Graf_Spee,Thanks to Juustagram even people like me who aren't very sociable can still chat with everyone Oh look Graf Zeppelin just made a new post!,73
Admiral_Graf_Spee,Prinz Eugen is surprisingly clumsy with this kind of stuff. She's still chicken-pecking with one finger.,73
Admiral_Graf_Spee,Welcome back! Cellphones are totally amazing aren't they? No matter where we are we can contact each other with the press of a button!,74
Admiral_Graf_Spee,To protect everyone who has shown me so much kindness I won't let you take a step closer!,74
Admiral_Graf_Spee,I knew it this totally reduces my fighting capabilities,75
Admiral_Graf_Spee,So this is where you were. There are so many people in the hall and I was worried about what I'd do if I'd lost you,75
Admiral_Graf_Spee,A ballroom dance? Sorry but I don't really know how to I just need to follow your steps? O-okay then I could give it a try.,76
Admiral_Graf_Spee,Ajax She's not planning something weird for the party is she?,76
Admiral_Graf_Spee,Everyone here is having so much fun I could never even imagine my past self being at a place like this.,77
Admiral_Graf_Spee,I know the party is still going on but you still have to check your new mail.,77
Admiral_Graf_Spee,Not everyone in the Royal Navy is like Ajax. I can actually have a productive conversation with most of them,78
Admiral_Graf_Spee,I will not let you disrupt the party for everyone else!,78
Admiral_Graf_Spee,Thanks to all the friends I have now I don't feel lonely anymore. And my encounter with you might be the happiest moment of my life. Ahahah~,79
Admiral_Graf_Spee,My sister just wouldn't stop bugging me so I finally caved and agreed to do this Anyways all I have to do is get up on stage and sing right?,79
Admiral_Graf_Spee,My sister's always pushing this for the glory of Iron Blood stuff onto me. Can't she do this idol stuff herself?,80
Admiral_Graf_Spee,Um Maybe it's because I'm so used to working with everyone but I feel like it's actually pretty easy being onstage.,80
Admiral_Graf_Spee,Idols are there to make people smile I never thought I could do something like that.,81
Admiral_Graf_Spee,These hands are no longer weapons of war but for returning the admiration of my fans. Right I can do this!,81
Admiral_Graf_Spee,We're not done with the lesson yet,82
Admiral_Graf_Spee,Have we been spending too much time on idol lessons?,82
Admiral_Hipper,Idiot so you rolled out of bed? Haah? What are you fantasizing about? I only happened to bump into you while patrolling the port.,83
Admiral_Hipper,What are you looking at idiot? Get out of my room!,83
Admiral_Hipper,Hah? A novice like you wants to challenge my cruiser-commanding skills?,84
Admiral_Hipper,Huh? Did I give you permission to touch me?,84
Admiral_Hipper,Don’t get distracted in the middle of a mission you idiot!,85
Admiral_Hipper,Idiot! Hurry up and collect your rewards! Why are you showing it off to me?,85
Admiral_Hipper,Are you too stupid to realize that you have new mail?,86
Admiral_Hipper,Idiot! If you had already returned why didn’t you come to see me? Hah? Who would be worried about you?,86
Admiral_Hipper,You idiot! You still haven’t remembered what you forgot about yet?,87
Admiral_Hipper,Hah? Did you think something like this would impress me?,87
Admiral_Hipper,Hmph. Just today I shall allow you to praise me a little.,88
Admiral_Hipper,C-c-c-curses! I can’t stand this ahh!,88
Admiral_Hipper,Huh? Who gave you permission to resist?,89
Admiral_Hipper,You piece of trash! I told you to stay out of my sight!,89
Admiral_Hipper,Huh? You can’t even do something like that? Are you an idiot?,90
Admiral_Hipper,Huh? Worried about me? Having an idiot like you worry about me doesn’t make me happy at all.,90
Admiral_Hipper,Huh? Who would ever have a crush on you? I’m only tagging along because Eugen wanted to have dinner with you. Don’t get the wrong idea idiot!,91
Admiral_Hipper,Huh? Who would ever fall in love with you? I’m only here to drop off something I found during sortie per regulations. Huh?! A ring? Who would wear something like that?!,91
Admiral_Hipper,Huh? Why must I wear something like this? Whatever I’m in a good mood for a change. You’re going to take care of me forever? Hmph! Isn’t that what you’re supposed to do?,92
Admiral_Hipper,Huhhh? Why would I go out of my way to get chocolate for you? I just happened to make too much and have leftovers and this is just so it doesn't go to waste! Don't get the wrong idea!,92
Admiral_Hipper,Here you go your long-awaited Valentine's chocolates. What? Even though you were making a really expectant face before now that I've made you some why are you giving such a weak reaction? Stop irritating me! Just take it already you big dummy!,93
Admiral_Hipper,Don't look at someone like that when they're trying to give you chocolate on Valentine's Day! I worked so hard to make them after all They're so well made it feels like a waste to eat them? Too bad for you then!!!,93
Admiral_Hipper,Happy Valentine's. Have this What's with that cocksure you made chocolate for me didn't you look? Yeah well you're wrong! This is I mean can't you tell? I know what you want 'cause I see you around port every single day. Maybe you'd know what I want if you were closer to me huh?!,94
Admiral_Hipper,Here it's your Valentine's chocolate. What's your deal? Every year you try and fail to get under my skin. Give it a Why would you eat it right in front of me?! Ugh shut up! I don't need a review of what's so good about it!,94
Admiral_Hipper,W-well? Does this kimono look good on me? R-really? Duh I know it looks GREAT on me! Who really cares what you think C-can't be me No I didn't say anything!,95
Admiral_Hipper,Which onsen do you want to go to today? I'd like to visit as many as possible so I can tell Eugen and the others all about the fancy places we've been to.,95
Admiral_Hipper,I can feel your gaze you know Would you stop ogling me like a painting? Huh?! You can't take your eyes off me? You say the stupidest damn things!,96
Admiral_Hipper,I've heard this type of kimono is famous. Makes sense considering how much skill an artisan needs to create patterns and colors this complex.,96
Admiral_Hipper,It's wonderful feeling the breeze on your skin after getting out of the hot spring. It's so soothing so cooling. You know what I mean right?,97
Admiral_Hipper,Hmph! Eugen can poke fun at me all she wants – this is NOT a date! She's not gonna be so smug when I gloat about how great the hot springs were. It was sooo good! I left feeling like a new person and so on!,97
Admiral_Hipper,Huh?! Grabbing a girl's hand without warning is a great way to startle her! At least tell me first!,98
Admiral_Hipper,Yeah I figured you'd like the pattern of– What the–?!,98
Admiral_Hipper,I don't care what spots you want to check out focus on your damn missions! You're keeping ME waiting too remember?!,99
Admiral_Hipper,Whoop-de-doo you finished a mission. Good for you. Stop dawdling and go collect the rewards!,99
Admiral_Hipper,There's a letter for you. Wow that's a nice postcard Never mind that just read what it says already!,100
Admiral_Hipper,Whew we're back. Time to dig in to some food before heading back to the onsen. You're worn out and I'm just as worn out as you are!,100
Admiral_Hipper,Let me guess you still haven't realized what's escaped your memory? Wrong! It's the commission not which stores I want to visit!,101
Admiral_Hipper,Isn't this much to be expected?,101
Admiral_Hipper,Thanks for making me work up a sweat!,102
Admiral_Hipper,We won. Heh I'm willing to give you the credit for the victory today.,102
Admiral_Hipper,This isn't much of a story to tell the others Ugh!,103
Admiral_Hipper,For the record I never wanted to go here. This trip is for you – to reward all your hard work and give you a break Huh? Me enjoying my time with you? Wh-who decided it's got anything to do with you? I have the right to enjoy my visit irrespective of you!,103
Agano,Though supporting from behind the lines is easy doing so for long periods makes me grow tired of it,104
Agano,These documents are for me Hm? That's unusual? I like to keep business and pleasure separate you see.,104
Agano,I went ahead and sorted out the new mission documents.,105
Agano,Are you sure this isn't a love letter from that girl you know? *Giggle*,105
Agano,Please have faith in the skill of this Agano-class light cruiser.,106
Agano,Let's give it everything we have.,106
Agano,Did you witness my performance?,107
Agano,How careless of me I will undergo special training when we've returned. *Giggle*.,107
Agano,They don't call me state of the art for nothing~,108
Agano,Dear me it seems things have gotten rather serious.,108
Agano,I wonder what will happen today *Giggle* I'm looking forward to finding out.,109
Agano,There will be no teasing from me today – only chocolate. Here. You understand what it means to receive chocolate right? It means I really like you. Say could I come a little closer? It's quite chilly out today,109
Agano,Even though I'm not really into this whole Christmas thing if it means I get to toy around with your heart by wearing this cute outfit of mine then I suppose I would be interested. Hehe~,110
Agano,Oh aren't you back early? May I suggest starting with a review of today's schedule?,110
Agano,Oh my it appears my costume has caused an unintended development,111
Agano,I'd like to offer you a reward for working so diligently even on a day as special as this.,111
Agano,Hey are you here by yourself? Hehe. Why don't we have a little chat then?,112
Agano,You haven't had anything to eat? If you'd like you can have some of my crepe~,112
Agano,Um do you mind if I shift a bit closer to you? It's a bit chilly out here What am I after? Jeez way to spoil the mood,113
Agano,Would you mind telling me more about yourself? I feel like we have a lot in common~ Hehe in other words I want to learn a lot more about you!,113
Agano,All done with the mission? Did you also pick up a crepe for me? Thanks a lot~,114
Agano,More mail huh You're quite the popular one. Hmph~,114
Agano,You must be tired right? Here if you'd like you can come lie down over here.,115
Agano,The competition tonight is considerably fiercer than I anticipated This calls for a counterattack Oh it was nothing important. I was just thinking out loud about how uh fabulous that chandelier is.,115
Agano,Come to think of it I haven't seen Noshiro around Knowing her she may be off on her own somewhere,116
Akagi,Don’t make fun of me for being slow-footed. See? I’ve~ caught~ you~,116
Akagi,If you so desire I would not mind if you partake of me in front of all the others.,117
Akagi,A new mission is another opportunity to deepen our bonds. *giggles*,117
Akagi,My love is invincible! Ahaha ahahaha!,118
Akagi,Ahahaha! I’m getting excited!,118
Akagi,We were destined to meet. I knew at first sight that you were the one I’ve been looking for my whole life.,119
Akagi,I have waited an eternity for this day to come. No one shall be able to separate us ever again! My mind body and soul belong to you as yours all belong to me. Haha ahahahaha!,119
Akagi,We should send out even more invites This is the best way to rid ourselves of those pesky vixens all at once!,120
Akagi,As long as we can be together those commissions and tasks don’t really matter right? You agree with me don’t you?,120
Akagi,Oh my mail has arrived. Mm it would seem that our superiors don’t suspect a thing.,121
Akagi,Relax Kaga. You're my only friend. You'll always have a place by my side.,121
Akagi,Has the commission fleet returned? If you're going won't you take Akagi with you?,122
Akagi,Ahaha Akagi is always ready and willing~,122
Akagi,I will not do anything that would tarnish your reputation but if any meddlesome pests insisted on getting in your way Ehehe,123
Akagi,Indeed. While you were socializing I made sure to strengthen our bonds with the other factions. At events like these Shinano is horribly out of place and if I may say so the burden may be a bit too great for Nagato.,123
Akagi,Who will you send to greet the commission fleet?,124
Akagi,1st CarDiv Akagi sallying forth~,124
Akagi,My love shall burn everything away~ Ahahahaha!!,125
Akagi,At least protect my friends and compatriots!,125
Akagi,This banquet is my present to you and your attendance is the greatest reward I could hope for~ Indeed I shall not grant you leave tonight until you pass out. Ehehe Ahahaha~,126
Akagi,Tonight you are not allowed to meet with anyone other than me. Exchanging pleasantries? Oh are you not satisfied with exchanging pleasantries with Akagi alone? Hehehe~,126
Akagi,Oh would you look who showed up Do remember to be on your best behavior tonight 5th~ Car~ Div~,127
Akagi,This reward shall serve as an exquisite dessert to the banquet~,127
Akagi,The commission team has returned? Excellent. You may go now.,128
Akagi,I shall burn everything away!,128
Akagi,Shall we take a break? There's no rush; your journey is far from over. Of course I couldn't be happier about that,129
Akagi,Oh you'd like to feed me? Okay! Aah,129
Akagi,A letter Heehee perhaps it's from a girl who's jealous of our relationship?,130
Akagi,I've gotten word that the commission team is back. Yes I'll arrange for someone to meet them. We wouldn't want to busy you over that now would we?,130
Akatsuki,T-the reason I sleep with the lights on is because i-it is not because I am afraid!,131
Akatsuki,Sometimes I do not understand what Ikazuchi and Inazuma are trying to say,131
Akatsuki,Can Hibiki find her way here on her own? It has me somewhat worried,132
Akatsuki,W-w-what! Anyone would be shocked from suddenly seeing a person's shadow cast in the light in the middle of the night!,132
Akatsuki,Hibiki I really miss her,133
Akatsuki,S-should you touch me there again then I will not be able to restrain myself!,133
Akatsuki,The ocean at night is a little scary N-nay I am not scared! B-but may I propose we do missions during daytime? You must agree right?!,134
Akatsuki,Rewards~ rewards~!,134
Akatsuki,New mail for you! Uh I will read it out loud for you!,135
Akatsuki,We may use my searchlight to find our way home! Huh?  You have no need of it? R-really?,135
Akatsuki,As the oldest of my siblings I must work even harder!,136
Akatsuki,Destroyer Division Six embark!,136
Akatsuki,This is the true power of a ninja!,137
Akatsuki,Damn I-I shall get you next time,137
Akatsuki,O darkness be gone!,138
Akatsuki,I am a little worried about Ikazuchi and Inazuma,138
Akatsuki,I cannot sleep well without my sisters by my side T-that is not to say I am lonely! I-it is because I am concerned about them!,139
Akatsuki,A promise that binds us for eternity I understand! Then I shall show you my true right eye right this mo T-there is no need for it? All I need to do is close my eyes instead? Re really?,139
Akatsuki,In an effort to put my ninja techniques to good use I have made this hyorogan-styled chocolate for you. Eat this and your belly will be filled for a full day! Hibiki and the others could never accomplish this! Hah hah!,140
Akatsuki,Hibiki I won't let myself get lost over something like that ever again!,140
Akatsuki,Is this the place called the Northern Parliament?! It is colder than I thought Th-thank goodness I brought gear for extreme environments! Hibiki please wait a bit longer! Your sister is coming to see you!,141
Akatsuki,Being fully prepared is the key to going in the right direction! Say that again? The East lies *that* way?,141
Akatsuki,I've still not found Hibiki I really do wonder when we'll meet again.,142
Akatsuki,It is thanks to my compass that I have arrived at the Northern Parliament! Huh? How long has the needle been frozen in place?!,142
Akatsuki,I'm curious as to how Ikazuchi and Inazuma are faring,143
Akatsuki,Would you care to harken to one of my tales of valor?,143
Akatsuki,Oooh I feel myself warming up! I don't know why though Something about it feels strange.,144
Akatsuki,To one day find Hibiki – that is the reason I set out upon this journey!,144
Akatsuki,My companion and I have shared so many miles together Hm maybe next time I should call my cohorts to take her for a spin together!,145
Akatsuki,My companion's lights are strong indeed but I still find these night roads rather difficult,145
Akatsuki,Back before I had broken her in my companion here gave me a lot of trouble. But these days? We move as one and the same!,146
Akatsuki,Inazuma and Ikazuchi are going to be impressed with my companion!,146
Akatsuki,Wooooaaaahh!! I'm losing control!,147
Akatsuki,My bond with my companion has grown even deeper!,147
Akatsuki,This obstacle will be child's play if I'm able to leverage my ninja skills I-I'm going the right way this time I'm sure of it!,148
Akatsuki,I'm well acquainted with how to use a grappling hook! What? Oh no! The presents!,148
Akatsuki,Hibiki will deliver the remaining presents? Phew that's good to know,149
Akatsuki,C-careful lest the rope come loose!,149
Akatsuki,I could've sworn we met here just a minute ago Wait a-am I going in circles?!,150
Akatsuki,The commission team has returned! Speaking of Where did my presents for them go?,150
Akatsuki,No ambushes! Let us fight face to face!,151
Akatsuki,I m-must maintain my posture!,151
Akatsuki,I see So it's called a performance not an exhibition Be that as it may the show must go on!,152
Akatsuki,Inazuma's elephant is quite the clever fellow. Heehee let us see if it can catch this ball!,152
Akatsuki,Ikazuchi are you all right?! Phew Don't make your sister worry like that!,153
Akatsuki,Behold! Jutsu of Flame Escape! *cough cough*! This darned pyrotechnic device is needlessly complicated!,153
Akatsuki,Don't just stand there Hibiki – come and assist! Your anchor really contains a hidden camera?! You just made that up? Aghh! Hibikiiii!,154
Akatsuki,H-hands off!,154
Akatsuki,A mission you say? It shall serve as a fine side act!,155
Akatsuki,I shall dance around our foes!,155
Akatsuki,My ninjutsu is no mere acrobatic act it's authentic! At least I'm fairly sure it is!,156
Alabama,I'd like to have a Turkey Shoot. Makes me wish I could fly,156
Alabama,You're interested in my abs? Go ahead and feel 'em.,157
Alabama,I can see the commission fleet comin' back over the horizon. Mhm I'm real proud of my eyesight!,157
Alabama,I feel like I could beat someone up right now Mmh!,158
Alabama,I won't let y'all leave until I've had my fun!,158
Alabama,Time to retreat? Fine,159
Alabama,Don't die on me just yet!,159
Alabama,Well well aren't you the frisky bunch Ahaha!,160
Alabama,Who the hell are you?,160
Alabama,I've been gettin' along pretty well with the Sakura Empire girls. I thought they'd hold a grudge against me but turns out that wasn't the case at all. Mhm they're an interestin' bunch!,161
Alabama,Chocolate's just too darn good so I wound up eatin' some while makin' it. This here's what's left It's all I've got so savor every bite.,161
Alabama,Thank you for always letting me cling to you. I made all of this just for you so please enjoy it. Oh you want to split it evenly with me? Yay~ *nom* Oh does this mean I can keep using you as a pillow?,162
Alabama,I feel it's weird to divvy up stuff into portions for each of us. What I want is to eat a single thing with you plain and simple. Reckon we could do that? Aw thanks. Hope we can keep doin' it like this forever.,162
Albacore,This? This is how I've always looked. Do ya like it? Let me guess you're having naughty thoughts aren'tcha~?,163
Albacore,I wonder what'd happen to you if I were to scream for help right now Wanna find out? Heheheh~,163
Albacore,Give me a massage and I'll keep quiet about that time you slacked off~,164
Albacore,Sweet mission rewards! So when am I getting my share?,164
Albacore,You've got mail! Say pretty please and I'll give it to you~,165
Albacore,Weeelcome back!  Why's the paperwork been stacked into a pyramid? Gee a strong wind must've done it~!,165
Albacore,Commission complete! C'mon let's go! We can't just sit here and keep 'em waiting forever!,166
Albacore,Ooh! That's good!,166
Albacore,Who's it gonna be next~? Teehee,167
Albacore,Hah hah! Easy peasy!,167
Albacore,Time to get outta heeeere!,168
Albacore,Surpriiiiiiiise!,168
Albacore,Huh? Have they spotted me or something?,169
Albacore,Jeeeeeeerk!,169
Albacore,You wonder what'd happen if you tick me off? I'd host something like a public exhibit of your greatest blunders!,170
Albacore,My shoulders are so stiff after a long day of swimming Oh I have an idea! If a certain someone gives me a massage I might just forget that really embarrassing thing they did!,170
Albacore,It's mean to mess with you all the time so today you'll get a nice relaxing massage!  *Phew* Hey you feeling something inside your ears? It's your fault for blindly trusting me like that!,171
Albacore,H-hey listen If some day I don't come back from the battlefield would you Ahahaha! Like that's ever happening! C'mere! I'm gonna tickle you senseless!,171
Albacore,Just claiming my ring. If that's all then I'm gonna get going now What? You're not gonna stop me? I-I'm telling ya I really will walk outta here!  Fiiiine you win! I admit it I just can't be without you anymore!,172
Albacore,Go on guess who this Valentine's chocolate is from~ Here's a hint: she worked her butt off to make it and really wants you to have it! So who made it? Get it wrong and I'll call Taihou and her obsessive friends over~,172
Albacore,Here's your cut in chocolate form my partner in crime! Cut for what? Oh nothin'! Jokes aside: Taihou and I made chocolate together~ She'll probably stuff you like a turkey with hers later so it's probably a good idea to get used to the taste!,173
Albacore,You had a great reaction that time I leapt at you out of a box so I wanted to replicate that with a box of chocolates but alas Taihou stopped me. Shaaame Oh well instead I hid my chocolates among the pile you've received already. If you can figure out which are mine you may just win a special prize~!,173
Albacore,How about a KAPOW! Gave you a real scare didn't I? Teehee~ Turned out pretty good if I say so myself~,174
